name,wins,losses,draws,weight_Normalized,significant_strikes_landed_per_minute,significant_striking_accuracy,significant_strikes_absorbed_per_minute,significant_strike_defence,average_takedowns_landed_per_15_minutes,takedown_accuracy,takedown_defense,average_submissions_attempted_per_15_minutes,division,age,reach_Normalized,height_Normalized,Physicality_Score,time_off,KO_Percentage,Striking_Score,Submission_Percentage,Grappling_Score,TotalFights,WinLossRatio,Experience_Score
Nathan Coy,15,7,0,0.09773239623392123,3.88,0.52,2.4,0.61,3.17,0.47,0.5,0.0,Middleweight,46.0,0.4230769230769229,0.34482758620689663,0.8656369055177408,2860.0,0.0,0.8055,0.6666666666666666,3.4571666666666663,22,0.6818181818181818,4.536363636363637
Takeshi Inoue,23,10,0,0.06013791274366793,2.54,0.44,3.32,0.61,0.0,0.0,0.47,0.0,Featherweight,35.8830242510699,0.4423076923076923,0.2758620689655172,0.7783076740168774,,0.0,0.31650000000000006,0.0,0.047,33,0.696969696969697,6.73939393939394
Kyle Stewart,11,3,0,0.09773239623392123,1.41,0.35,2.42,0.43,1.32,0.2,0.6,0.0,Middleweight,36.0,0.6923076923076921,0.41379310344827575,1.203833191989889,2027.0,0.0,0.124,0.5,1.5350000000000001,14,0.7857142857142857,2.9571428571428573
Ryan Keenan,6,2,0,0.09773239623392123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middleweight,39.515151515151516,0.5968489341983318,0.34482758620689663,1.0394089166391498,,0.0,0.0,0.0,0.0,8,0.75,1.75
Stephen Regman,9,4,0,0.12027582548733588,1.41,0.6,4.93,0.23,3.52,1.0,0.0,0.0,Light Heavyweight,33.0,0.6923076923076921,0.3793103448275862,1.191893862622614,,0.0,-0.23249999999999993,0.0,3.67,13,0.6923076923076923,2.7384615384615385
Igor Borisov,1,1,0,0.19546479246784249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.41379310344827575,1.3412840397069679,,0.0,0.0,0.0,0.0,2,0.5,0.5
Lucas Alexander,8,4,0,0.06013791274366793,5.23,0.55,1.83,0.71,0.0,0.0,0.57,0.0,Featherweight,29.0,0.5769230769230766,0.3793103448275862,1.0163713344943308,452.0,33.33333333333333,9.582833333333333,0.3333333333333333,0.1403333333333333,12,0.6666666666666666,2.5333333333333337
Eric Bedard,6,7,0,0.2014984750033152,6.37,0.35,8.54,0.52,0.0,0.0,0.0,0.0,Heavyweight,44.17465753424658,0.7320261437908496,0.48275862068965525,1.41628323948382,,0.0,0.45950000000000024,0.0,0.0,13,0.46153846153846156,2.6923076923076925
Mitch Ramirez,7,1,0,0.09773239623392123,3.69,0.52,4.81,0.36,2.41,1.0,0.0,0.0,Middleweight,32.0,0.5,0.3793103448275862,0.9770427410615075,333.0,100.0,25.359,0.0,2.56,8,0.875,1.7750000000000001
Carlos Prates,17,6,0,0.09773239623392123,4.81,0.63,3.69,0.47,0.0,0.0,0.0,0.0,Middleweight,31.0,0.7692307692307692,0.4482758620689653,1.3152390275336558,95.0,100.0,25.8455,0.0,0.0,23,0.7391304347826086,4.747826086956522
